Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Oct-20,1.20%,3.90%,4.00%,3.90%,-9.20%,-18.00%,1.30%,1.80%,1.60%,1.20%,-5.50%,1.50%,-0.80%,1.70%,2.00%,3.70%,2.10%
Nov-20,1.20%,3.70%,3.60%,3.80%,-9.40%,-19.30%,1.60%,4.40%,1.60%,1.40%,-5.20%,1.60%,-1.10%,1.70%,1.90%,3.20%,1.90%
Dec-20,1.40%,3.90%,3.90%,3.90%,-7.00%,-15.20%,2.20%,4.10%,1.60%,1.70%,-3.90%,2.00%,-2.50%,1.60%,1.80%,2.80%,2.00%
Jan-21,1.40%,3.80%,3.70%,3.90%,-3.60%,-8.60%,1.50%,4.30%,1.40%,1.70%,-2.50%,1.40%,-2.30%,1.30%,1.60%,2.90%,1.70%
Feb-21,1.70%,3.60%,3.50%,3.70%,2.40%,1.50%,2.30%,6.70%,1.30%,1.30%,-3.60%,1.20%,-2.50%,1.30%,1.50%,3.00%,1.70%
Mar-21,2.60%,3.50%,3.30%,3.70%,13.20%,22.50%,2.50%,9.80%,1.60%,1.70%,-2.50%,1.50%,-2.40%,1.60%,1.70%,2.70%,1.50%
Apr-21,4.20%,2.40%,1.20%,3.80%,25.10%,49.60%,3.60%,12.10%,3.00%,4.40%,1.90%,2.00%,-1.70%,2.50%,2.10%,2.20%,1.70%
May-21,5.00%,2.20%,0.70%,4.00%,28.50%,56.20%,4.20%,13.50%,3.80%,6.50%,5.60%,3.30%,-1.90%,2.90%,2.20%,1.50%,1.90%
Jun-21,5.40%,2.40%,0.90%,4.20%,24.50%,45.10%,3.80%,15.60%,4.50%,8.70%,4.90%,5.30%,-2.20%,3.10%,2.60%,1.00%,2.10%
Jul-21,5.40%,3.40%,2.60%,4.60%,23.80%,41.80%,4.00%,19.00%,4.30%,8.50%,4.20%,6.40%,-2.10%,2.90%,2.80%,0.80%,1.10%
Aug-21,5.30%,3.70%,3.00%,4.70%,25.00%,42.70%,5.20%,21.10%,4.00%,7.70%,4.20%,7.60%,-2.50%,2.70%,2.80%,1.00%,1.20%
Sep-21,5.40%,4.60%,4.50%,4.70%,24.80%,42.10%,5.20%,20.60%,4.00%,7.30%,3.40%,8.70%,-1.60%,2.90%,3.20%,0.90%,1.70%
Oct-21,6.20%,5.30%,5.40%,5.30%,30.00%,49.60%,6.50%,28.10%,4.60%,8.40%,4.30%,9.80%,-0.40%,3.20%,3.50%,1.70%,1.80%
Nov-21,6.80%,6.10%,6.40%,5.80%,33.30%,58.10%,6.50%,25.10%,4.90%,9.40%,5.00%,11.10%,0.20%,3.40%,3.80%,2.10%,1.70%
Dec-21,7.00%,6.30%,6.50%,6.00%,29.30%,49.60%,6.30%,24.10%,5.50%,10.70%,5.80%,11.80%,0.40%,3.70%,4.10%,2.50%,1.60%
Jan-22,7.50%,7.00%,7.40%,6.40%,27.00%,40.00%,10.70%,23.90%,6.00%,11.70%,5.30%,12.20%,1.40%,4.10%,4.40%,2.70%,1.60%
Feb-22,7.90%,7.90%,8.60%,6.80%,25.60%,38.00%,9.00%,23.80%,6.40%,12.30%,6.60%,12.40%,2.50%,4.40%,4.70%,2.40%,1.60%
Mar-22,8.50%,8.80%,10.00%,6.90%,32.00%,48.00%,11.10%,21.60%,6.50%,11.70%,6.80%,12.50%,2.70%,4.70%,5.00%,2.90%,1.50%
Apr-22,8.30%,9.40%,10.80%,7.20%,30.30%,43.60%,11.00%,22.70%,6.20%,9.70%,5.40%,13.20%,2.10%,4.90%,5.10%,3.50%,1.00%
May-22,8.60%,10.10%,11.90%,7.40%,34.60%,48.70%,12.00%,30.20%,6.00%,8.50%,5.00%,12.60%,2.40%,5.20%,5.50%,4.00%,0.80%
Jun-22,9.10%,10.40%,12.20%,7.70%,41.60%,59.90%,13.70%,38.40%,5.90%,7.20%,5.20%,11.40%,3.20%,5.50%,5.60%,4.80%,0.80%
Jul-22,8.50%,10.90%,13.10%,7.60%,32.90%,44.00%,15.20%,30.50%,5.90%,7.00%,5.10%,10.40%,3.70%,5.50%,5.70%,5.10%,0.50%
Aug-22,8.30%,11.40%,13.50%,8.00%,23.80%,25.60%,15.80%,33.00%,6.30%,7.10%,5.10%,10.10%,4.10%,6.10%,6.20%,5.60%,0.50%
Sep-22,8.20%,11.20%,13.00%,8.50%,19.80%,18.20%,15.50%,33.10%,6.60%,6.60%,5.50%,9.40%,3.70%,6.70%,6.60%,6.50%,0.20%
Oct-22,7.70%,10.90%,12.40%,8.60%,17.60%,17.50%,14.10%,20.00%,6.30%,5.10%,4.10%,8.40%,3.10%,6.70%,6.90%,5.40%,0.00%
Nov-22,7.10%,10.60%,12.00%,8.50%,13.10%,10.10%,13.70%,15.50%,6.00%,3.70%,3.60%,7.20%,3.10%,6.80%,7.10%,4.40%,0.70%
Dec-22,6.50%,10.40%,11.80%,8.30%,7.30%,-1.50%,14.30%,19.30%,5.70%,2.10%,2.90%,5.90%,3.20%,7.00%,7.50%,4.10%,0.70%
Jan-23,6.40%,10.10%,11.30%,8.20%,8.70%,1.50%,11.90%,26.70%,5.60%,1.40%,3.10%,5.80%,3.40%,7.20%,7.90%,3.00%,1.00%
Feb-23,6.00%,9.50%,10.20%,8.40%,5.20%,-2.00%,12.90%,14.30%,5.50%,1.00%,3.30%,5.80%,3.20%,7.30%,8.10%,2.10%,1.00%
Mar-23,5.00%,8.50%,8.40%,8.80%,-6.40%,-17.40%,10.20%,5.50%,5.60%,1.50%,3.30%,6.10%,3.60%,7.10%,8.20%,1.00%,1.40%
Apr-23,4.90%,7.70%,7.10%,8.60%,-5.10%,-12.20%,8.40%,-2.10%,5.50%,2.00%,3.60%,5.40%,4.00%,6.80%,8.10%,0.40%,1.60%
May-23,4.00%,6.70%,5.80%,8.30%,-11.70%,-19.70%,5.90%,-11.00%,5.30%,2.00%,3.50%,4.70%,4.40%,6.60%,8.00%,-0.10%,1.50%
Jun-23,3.00%,5.70%,4.70%,7.70%,-16.70%,-26.50%,5.40%,-18.60%,4.80%,1.30%,3.10%,4.10%,4.20%,6.20%,7.80%,-0.80%,1.10%
Jul-23,3.20%,4.90%,3.60%,7.10%,-12.50%,-19.90%,3.00%,-13.70%,4.70%,0.80%,3.20%,3.50%,4.10%,6.10%,7.70%,-1.50%,1.20%
Aug-23,3.70%,4.30%,3.00%,6.50%,-3.60%,-3.30%,2.10%,-16.50%,4.30%,0.20%,3.10%,2.90%,4.50%,5.90%,7.30%,-2.10%,1.00%
Sep-23,3.70%,3.70%,2.40%,6.00%,-0.50%,3.00%,2.60%,-19.90%,4.10%,0.00%,2.30%,2.50%,4.20%,5.70%,7.20%,-2.60%,1.00%
Oct-23,3.20%,3.30%,2.10%,5.40%,-4.50%,-5.30%,2.40%,-15.80%,4.00%,0.10%,2.60%,1.90%,4.70%,5.50%,6.70%,-2.00%,0.90%
Nov-23,3.10%,2.90%,1.70%,5.30%,-5.40%,-8.90%,3.40%,-10.40%,4.00%,0.00%,1.10%,1.30%,5.00%,5.50%,6.50%,-0.90%,-0.10%
Dec-23,3.40%,2.70%,1.30%,5.20%,-2.00%,-1.90%,3.30%,-13.80%,3.90%,0.20%,1.00%,1.00%,4.70%,5.30%,6.20%,-0.50%,-0.10%
Jan-24,3.10%,2.60%,1.20%,5.10%,-4.60%,-6.40%,3.80%,-17.80%,3.90%,-0.30%,0.10%,0.70%,3.00%,5.40%,6.00%,0.60%,0.00%
Feb-24,3.20%,2.20%,1.00%,4.50%,-1.90%,-3.90%,3.60%,-8.80%,3.80%,-0.30%,0.00%,0.40%,2.90%,5.20%,5.70%,1.10%,0.40%
Mar-24,3.50%,2.20%,1.20%,4.20%,2.10%,1.30%,5.00%,-3.20%,3.80%,-0.70%,0.40%,-0.10%,2.50%,5.40%,5.70%,2.10%,0.20%
Apr-24,3.40%,2.20%,1.10%,4.10%,2.60%,1.20%,5.10%,-1.90%,3.60%,-1.30%,1.30%,-0.40%,2.50%,5.30%,5.50%,2.70%,0.40%
May-24,3.30%,2.10%,1.00%,4.00%,3.70%,2.20%,5.90%,0.20%,3.40%,-1.70%,0.80%,-0.80%,3.10%,5.30%,5.40%,3.10%,0.50%
